num_code,age,gender,race,stimuli,trials_till_criterion_set1,trials_till_criterion_set2,accuracy_standard,center_embedded_test4,crossed_test4,tail_embedded_test4,all_other_test4,center_embedded_test6,crossed_test6,tail_embedded_test6,all_other_test6
1580,32,Male,White or Caucasian,no_support,8,4,0.625,0,0.125,0,0.875,0.00,0.00,0,1.00
1586,53,Male,White or Caucasian,no_support,14,6,0.8333333,0,0,0,1,0.00,0.00,0,1.00
1591,68,Male,White or Caucasian,no_support,4,3,0.875,0,0,1,0,0.00,0.00,0,1.00
1602,42,Male,White or Caucasian,no_support,8,5,0.875,0.5,0.375,0,0.125,0.75,0.25,0,0.00
1607,35,Male,White or Caucasian,no_support,7,4,0.875,0.625,0.25,0,0.125,0.50,0.50,0,0.00
1608,29,Male,White or Caucasian,no_support,494,11,0.625,0.125,0.125,0,0.75,0.00,0.00,0,1.00
1609,31,Male,Latinx or Hispanic,no_support,21,5,1,0.125,0.125,0.125,0.625,0.00,0.14,0,0.86
1613,33,Male,Latinx or Hispanic,no_support,65,46,0.625,0.75,0.25,0,0,0.13,0.88,0,0.00
1616,33,Male,Black or African American,no_support,17,9,0.5,0,0.125,0,0.875,0.00,0.00,0,1.00
1659,31,Male,White or Caucasian,no_support,12,8,1,0.75,0.25,0,0,0.75,0.25,0,0.00
1669,37,Female,Asian,no_support,19,5,1,0.625,0.375,0,0,0.75,0.25,0,0.00
1677,48,Male,White or Caucasian,no_support,6,5,1,0,0.875,0,0.125,0.00,0.88,0,0.13
1681,45,Male,White or Caucasian,no_support,11,4,1,0,0.75,0,0.25,0.00,0.75,0,0.25
1691,28,Male,White or Caucasian,no_support,12,4,0.875,0.125,0.75,0,0.125,0.38,0.63,0,0.00
1695,59,Female,White or Caucasian,no_support,7,5,1,1,0,0,0,0.75,0.25,0,0.00
1697,33,Male,White or Caucasian,no_support,7,5,0.5,0.25,0,0,0.75,0.00,0.00,0,1.00
1698,38,Female,White or Caucasian,no_support,29,14,0.625,0.125,0,0.25,0.625,0.00,0.00,0,1.00
1700,50,Female,White or Caucasian,no_support,4,8,0.75,0.5,0.5,0,0,0.38,0.25,0,0.38
1712,31,Male,White or Caucasian,no_support,5,6,1,0.125,0.875,0,0,0.13,0.88,0,0.00
1714,41,Female,White or Caucasian,no_support,27,3,1,0,0,1,0,0.00,0.00,0,1.00
1718,28,Male,White or Caucasian,no_support,6,5,0.875,0.25,0.75,0,0,0.25,0.75,0,0.00
1719,28,Female,White or Caucasian,no_support,57,5,0.75,0.375,0.125,0,0.5,0.00,0.13,0,0.88
1723,36,Male,White or Caucasian,no_support,8,5,1,0,0.75,0,0.25,0.33,0.67,0,0.00
1725,33,Female,White or Caucasian,no_support,8,3,1,0.125,0.875,0,0,0.00,1.00,0,0.00
1726,50,Female,White or Caucasian,no_support,8,4,0.625,0.375,0.375,0.125,0.125,0.25,0.50,0,0.25
1727,32,Male,Asian,no_support,15,5,1,0,0.875,0.125,0,0.25,0.75,0,0.00
1728,28,Female,White or Caucasian,no_support,6,4,0.875,1,0,0,0,0.88,0.13,0,0.00
1736,39,Female,White or Caucasian,no_support,10,8,1,0.875,0,0,0.125,0.63,0.13,0,0.25
1738,45,Male,White or Caucasian,no_support,30,5,0.75,0,0.125,0.5,0.375,0.25,0.25,0,0.50
1751,42,Male,Black or African American,no_support,23,6,0.75,0.625,0.25,0.125,0,0.38,0.38,0,0.25
1754,37,Female,White or Caucasian,no_support,8,8,0.875,0.625,0.375,0,0,0.13,0.75,0,0.13
1756,37,Female,White or Caucasian,no_support,30,5,1,0.25,0.75,0,0,0.00,1.00,0,0.00
