num_code,age,gender,race,stimuli,trials_till_criterion_set1,trials_till_criterion_set2,accuracy_standard,center_embedded_test4,crossed_test4,tail_embedded_test4,all_other_test4,center_embedded_test6,crossed_test6,tail_embedded_test6,all_other_test6
3133,42,Male,White or Caucasian,perceptual_support_shapes,9,4,1,1,0,0,0,0,0,0,1
3136,31,Male,Latinx or Hispanic,perceptual_support_shapes,16,4,0.5,1,0,0,0,0,0.25,0,0.75
3137,37,Male,Asian,perceptual_support_shapes,11,6,0.75,0.875,0,0,0.125,0.875,0,0,0.125
3141,40,Male,White or Caucasian,perceptual_support_shapes,15,6,0.625,1,0,0,0,0.625,0.375,0,0
3143,25,Female,Asian,perceptual_support_shapes,12,5,0.875,0.75,0,0.125,0.125,0,0,0,1
3144,59,Male,White or Caucasian,perceptual_support_shapes,16,3,1,0.875,0.125,0,0,1,0,0,0
3145,38,Male,White or Caucasian,perceptual_support_shapes,8,3,1,1,0,0,0,1,0,0,0
3146,56,Female,White or Caucasian,perceptual_support_shapes,5,3,0.625,0.625,0.375,0,0,0.375,0.5,0,0.125
3147,52,Male,Black or African American,perceptual_support_shapes,52,12,0.625,0.75,0.125,0,0.125,0.875,0.125,0,0
3149,25,Male,White or Caucasian,perceptual_support_shapes,15,3,0.75,1,0,0,0,0.625,0.375,0,0
3150,24,Male,Asian,perceptual_support_shapes,28,8,0.75,0.875,0.125,0,0,0.5,0.375,0,0.125
3151,30,Female,White or Caucasian,perceptual_support_shapes,96,3,0.625,0.875,0,0,0.125,0,0,0,1
3153,35,Male,White or Caucasian,perceptual_support_shapes,9,3,0.875,1,0,0,0,0,0.125,0,0.875
3155,50,Male,Latinx or Hispanic,perceptual_support_shapes,32,3,0.5,0.75,0.25,0,0,0.625,0.375,0,0
3159,30,Male,White or Caucasian,perceptual_support_shapes,20,4,0.75,0.5,0.25,0,0.25,0.125,0.25,0.125,0.5
3160,50,Female,White or Caucasian,perceptual_support_shapes,100,8,0.5,0.75,0.125,0,0.125,0.125,0.625,0,0.25
3162,66,Female,White or Caucasian,perceptual_support_shapes,5,3,0.875,1,0,0,0,1,0,0,0
3164,41,Male,White or Caucasian,perceptual_support_shapes,4,4,1,1,0,0,0,1,0,0,0
3165,47,Female,White or Caucasian,perceptual_support_shapes,3,3,0.75,1,0,0,0,0.75,0.25,0,0
3166,31,Male,White or Caucasian,perceptual_support_shapes,8,6,0.875,1,0,0,0,0.75,0,0,0.25
3167,30,Male,White or Caucasian,perceptual_support_shapes,9,6,0.5,0.5,0.5,0,0,0,0,0,1
3168,49,Female,Black or African American,perceptual_support_shapes,8,3,1,1,0,0,0,0.875,0.125,0,0
3171,37,Male,White or Caucasian,perceptual_support_shapes,6,4,0.875,1,0,0,0,1,0,0,0
3174,32,Male,White or Caucasian,perceptual_support_shapes,13,3,0.625,1,0,0,0,0,0,0,1
3176,36,Female,White or Caucasian,perceptual_support_shapes,7,4,0.875,1,0,0,0,1,0,0,0
3177,29,Male,White or Caucasian,perceptual_support_shapes,14,17,1,0.625,0.375,0,0,1,0,0,0
3178,37,Female,White or Caucasian,perceptual_support_shapes,17,8,0.875,1,0,0,0,0.75,0.25,0,0
3179,41,Female,White or Caucasian,perceptual_support_shapes,9,5,0.75,0.75,0.25,0,0,0.5,0.5,0,0
3180,36,Male,White or Caucasian,perceptual_support_shapes,10,4,0.875,1,0,0,0,1,0,0,0
3181,30,Male,White or Caucasian,perceptual_support_shapes,6,3,0.875,0.375,0.625,0,0,0,1,0,0
3182,24,Male,Asian,perceptual_support_shapes,9,3,0.75,1,0,0,0,0.5,0.25,0,0.25
3183,44,Male,Black or African American,perceptual_support_shapes,6,4,1,1,0,0,0,1,0,0,0
3186,37,Male,Black or African American,perceptual_support_shapes,27,8,0.625,0.25,0.375,0,0.375,0,0.125,0,0.875
3187,29,Male,"Black or African American,White or Caucasian,Other",perceptual_support_shapes,12,3,0.625,0.875,0.125,0,0,1,0,0,0
3188,39,Male,White or Caucasian,perceptual_support_shapes,13,3,1,1,0,0,0,1,0,0,0
3192,40,Female,Latinx or Hispanic,perceptual_support_shapes,17,5,0.625,0,1,0,0,0,1,0,0
3193,40,Male,White or Caucasian,perceptual_support_shapes,9,6,1,0,1,0,0,0,0,0,1
3194,25,Female,White or Caucasian,perceptual_support_shapes,6,5,1,1,0,0,0,1,0,0,0
3195,42,Male,White or Caucasian,perceptual_support_shapes,4,4,1,1,0,0,0,0.75,0.25,0,0
3196,44,Female,Latinx or Hispanic,perceptual_support_shapes,4,3,0.625,0.125,0.875,0,0,0,0.875,0,0.125
3198,51,Male,White or Caucasian,perceptual_support_shapes,5,3,1,1,0,0,0,1,0,0,0
